№ Заключения;Дата;Титул;Номер линии;Номер чертежа;Категория трубопровода;Наименование технологического узла;Номер СС;Размер свариваемых элементов;Клеймо сварщика;Сегменты;Заключения;Лаборатория;Файл;Оригинал;Кол-во страниц;Страница;Страница общ
YMT-A-1107UT31827--;22.01.2021;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;P1Y28706;F26RW;60.3x8.74+60.3x8.74;8FZL;;гoдeн/appropriate;"ООО ""Альфа""";Заключение УЗК_011_167465.pdf;2-110-942002-01B-03.pdf;1;37;000037
YMT-A-1107UT31828;22.01.2021;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;P1Y28707;F2.8RW;60.3x8.74+60.3x8.74;8FZL;;гoдeн/appropriate;"ООО ""Альфа""";Заключение УЗК_011_167468.pdf;2-110-942002-01B-03.pdf;1;43;000043
YMT-A-1107UT31830;22.01.2021;4.1.8.11.219;2-11-942028;0055-4.1.8.11.219-TM.IS-0626;V-I;P1Y28707;F2.10RW;60.3x8.74+60.3x8.74;8FZ1;;гoдeн/appropriate;"ООО ""Альфа""";Заключение УЗК_011_167471.pdf;2-110-942002-01B-03.pdf;1;49;000049
YMT-A-1136UT32882;16.02.2021;4.1.8.11.219;2-11-942029;0055-4.1.8.11.219-TM.IS-0627;V-I;P1Y29205;F1.14;60.3x8.74+60.3x8.74;A9BX;;гoдeн/appropriate;"ООО ""Альфа""";Заключение УЗК_011_167486.pdf;2-110-942002-01B-03.pdf;1;89;000089
